local_authority,median_income,region,population,suicides,unemployment_rate,worthwhile,living_score
East Hampshire,35299.3975903614,South East,119392,11,2.8269609300000003,7.93,17.533
Eastbourne,26762,South East,103251,13,5.20242485,7.82,14.178
Eastleigh,33802.75,South East,130498,12,3.31408204,7.91,14.075
Elmbridge,43286.1463359892,South East,136379,9,2.68602283,7.88,13.087
Epsom and Ewell,40206.4285714285,South East,79451,9,3.09227892,8.27,13.507
Fareham,34292,South East,116219,8,2.47132727,8.23,16.235
Gosport,29198,South East,85509,6,4.2515287399999995,7.88,22.557
Gravesham,30137.38317757,South East,106121,13,5.47252732,7.98,18.842
Guildford,38853.4403947448,South East,147777,13,2.61408742,8.05,14.622
Hart,41462.548262548196,South East,95465,2,2.36288791,7.94,8.233
Hastings,25181.2030075187,South East,92813,13,5.96115164,7.69,22.811
Havant,29718.6774193548,South East,125065,12,4.57685366,7.98,16.939
Horsham,36230.7189542483,South East,140142,7,3.04639302,7.61,16.75
Isle of Wight,25535.0746268656,South East,140984,15,4.40408888,7.98,28.693
Lewes,29968.3006535947,South East,102257,12,2.9160733899999998,7.74,14.585
Maidstone,32460.6936416184,South East,167730,8,3.1860472700000004,7.96,22.247
Medway,29922.5806451612,South East,277616,19,4.07588443,7.84,25.313
Mid Sussex,36769.1666666666,South East,148345,11,1.99411992,7.88,12.129
Milton Keynes,32346,South East,267521,14,4.445736699999999,7.95,10.265
Mole Valley,39141.6417910447,South East,87128,8,2.80341399,7.64,16.585
New Forest,31202.1428571428,South East,179590,12,2.84192779,8.11,13.986
Oxford,33077.5862068965,South East,154582,11,3.46582104,7.98,27.418
Portsmouth,27574.6268656716,South East,214718,18,4.70155502,7.89,43.313
Reading,32788.0148131522,South East,163075,13,4.0812969599999995,7.87,22.108
Reigate and Banstead,39176.6917293233,South East,146383,9,2.89017022,7.7,16.324
Rother,27939.8496240601,South East,94997,8,4.4161949,8.15,22.97
Runnymede,36957.1428571428,South East,86882,5,2.69311892,7.62,18.575
Rushmoor,33968.0746268656,South East,95817,9,2.71358269,8.7,13.063
Sevenoaks,35862.5,South East,119429,8,3.1895256599999997,8.01,17.288
Shepway,27702,South East,NA,11,NA,NA,NA
Slough,30533.3352036808,South East,148768,17,3.8530287500000004,7.8,22.387
South Bucks,40942.8880597014,South East,NA,3,3.1803441500000003,8.04,13.254
South Oxfordshire,37592.1428571428,South East,139767,7,2.48972873,8.16,15.269
Southampton,27613,South East,252359,27,5.71849875,7.71,32.666
Spelthorne,38360,South East,99120,5,2.67990042,7.72,23.911
Surrey Heath,40836,South East,88765,6,2.59080234,8.24,9.851
Swale,29068.9148243743,South East,146694,11,5.96662991,8.08,19.252
Tandridge,38929,South East,87297,7,3.01533319,8.2,16.917
Test Valley,34718,South East,123957,6,2.6789213199999997,7.73,16.491
Thanet,24636.5296803652,South East,141337,18,5.60883982,8.05,18.633
Tonbridge and Malling,34394,South East,128891,8,3.37419096,7.96,14.998
Tunbridge Wells,34018,South East,118061,15,3.15756929,8.06,19.705
Vale of White Horse,36975.8333333333,South East,131227,11,2.7961151600000003,8.17,12.408
Waverley,38314.9626865671,South East,125010,8,2.39908815,8.12,9.515
Wealden,31097.4874371859,South East,158941,17,2.53561662,7.88,20.914
West Berkshire,37126,South East,158473,6,2.48530194,8.03,15.225
West Oxfordshire,34428,South East,109266,6,2.43541775,7.85,11.238
Winchester,36146,South East,123879,16,2.46208075,7.97,17.473
Windsor and Maidenhead,40564.8313253012,South East,150140,11,2.72600047,7.9,14.079
Woking,39169.0476190476,South East,101129,5,2.49785466,8.11,13.645
Wokingham,42709,South East,164980,8,2.4108598,8.08,6.522
Worthing,29694,South East,109632,9,3.68283669,7.76,27.815
Wycombe,35262.25,South East,NA,18,3.51832812,7.92,10.375
